,L Velocity,R Velocity,X Position,Y Position,Theta,LiDAR F,LiDAR R,Gyro,Compass X,Compass Y
0,-0.0,-0.0,0.0,0.0,90.0,2048.0,2048.0,0.0,-6.123233995736766e-17,1.0
1,-0.001,0.001,0.0,0.0,89.99994573116733,2048.0000000009186,2048.0,-9.471698112495375e-07,-9.471698113106282e-07,0.9999999999995515
2,-0.002,0.002,0.0,0.0,89.99983719350199,2048.0000000082678,2048.0,-1.8943396227211196e-06,-2.8415094340280655e-06,0.9999999999959629
3,-0.003,0.003,0.0,0.0,89.99967438700398,2048.000000033072,2048.0,-2.841509433970657e-06,-5.683018867971956e-06,0.9999999999838517
4,-0.004,0.004,0.0,0.0,89.9994573116733,2048.0000000918662,2048.0,-3.7886792452201945e-06,-9.471698113081118e-06,0.9999999999551434
5,-0.005,0.005,0.0,0.0,89.99918596750993,2048.000000206699,2048.0,-4.735849056691777e-06,-1.4207547169436542e-05,0.9999999998990728
6,-0.006,0.006,0.0,0.0,89.99886035451391,2048.00000040513,2048.0,-5.683018867941314e-06,-1.9890566036544267e-05,0.9999999998021827
7,-0.007,0.007,0.0,0.0,89.99848047268522,2048.0000007202307,2048.0,-6.6301886791908515e-06,-2.6520754713937786e-05,0.9999999996483248
8,-0.008,0.008,0.0,0.0,89.99804632202384,2048.000001190586,2048.0,-7.577358490662434e-06,-3.409811320110158e-05,0.9999999994186594
9,-0.009000000000000001,0.009000000000000001,0.0,0.0,89.9975579025298,2048.00000186029,2048.0,-8.524528301911971e-06,-4.262264149671574e-05,0.9999999990916553
10,-0.01,0.01,0.0,0.0,89.9970152142031,2048.000002778952,2048.00001024,-9.471698113161509e-06,-5.209433959922015e-05,0.9999999986430899
11,-0.011,0.011,0.0,0.0,89.99641825704371,2048.0000040016907,2048.00001024,-1.041886792463309e-05,-6.251320750669979e-05,0.9999999980460494
12,-0.012,0.012,0.0,0.0,89.99576703105166,2048.0000055891383,2048.00001024,-1.1366037735882628e-05,-7.387924521609107e-05,0.9999999972709286
13,-0.013000000000000001,0.013000000000000001,0.0,0.0,89.99506153622694,2048.0000076074384,2048.00001024,-1.2313207547132166e-05,-8.619245272370786e-05,0.9999999962854306
14,-0.014,0.014,0.0,0.0,89.99430177256956,2048.0000101282462,2048.00001024,-1.3260377358381703e-05,-9.945283002486642e-05,0.9999999950545673
15,-0.015000000000000001,0.015000000000000001,0.0,0.0,89.99348774007949,2048.0000132287296,2048.00001024,-1.4207547169853285e-05,-0.00011366037711394176,0.9999999935406593
16,-0.016,0.016,0.0,0.0,89.99261943875676,2048.0000169915684,2048.00001024,-1.5154716981102823e-05,-0.0001288150939835231,0.9999999917033358
17,-0.017,0.017,0.0,0.0,89.99169686860135,2048.000021504954,2048.00001024,-1.610188679235236e-05,-0.00014491698062488872,0.9999999894995343
18,-0.018000000000000002,0.018000000000000002,0.0,0.0,89.99072002961327,2048.0000268625895,2048.0000409599998,-1.7049056603823942e-05,-0.00016196603702780214,0.9999999868835013
19,-0.019,0.019,0.0,0.0,89.98968892179253,2048.000033163691,2048.0000409599998,-1.799622641507348e-05,-0.00017996226317962928,0.9999999838067918
20,-0.02,0.02,0.0,0.0,89.98860354513911,2048.0000405129854,2048.0000409599998,-1.8943396226323017e-05,-0.00019890565906577503,0.9999999802182692
21,-0.021,0.021,0.0,0.0,89.98746389965302,2048.0000490207126,2048.0000409599998,-1.98905660377946e-05,-0.00021879622466944125,0.9999999760641057
